      Step     Time          Energy         fmax
BFGS:    0 12:56:12    -1042.711529       22.1746
BFGS:    1 12:56:12    -1049.884341       17.0418
BFGS:    2 12:56:12    -1053.682543       13.7195
BFGS:    3 12:56:12    -1057.163836       11.3585
BFGS:    4 12:56:12    -1059.362263        9.9229
BFGS:    5 12:56:12    -1060.954867        8.8668
BFGS:    6 12:56:12    -1062.293638        7.6691
BFGS:    7 12:56:12    -1063.505400        6.1067
BFGS:    8 12:56:12    -1064.648360        4.7521
BFGS:    9 12:56:12    -1065.594548        4.0253
BFGS:   10 12:56:12    -1066.421750        3.6635
BFGS:   11 12:56:12    -1067.187675        3.4728
BFGS:   12 12:56:12    -1067.849714        3.0912
BFGS:   13 12:56:12    -1068.481403        3.2788
BFGS:   14 12:56:13    -1069.098801        3.7906
BFGS:   15 12:56:13    -1069.696969        4.1973
BFGS:   16 12:56:13    -1070.291369        4.1487
BFGS:   17 12:56:13    -1070.811876        3.9456
BFGS:   18 12:56:13    -1071.294544        3.8311
BFGS:   19 12:56:13    -1071.766857        3.9962
BFGS:   20 12:56:13    -1072.228367        4.3203
BFGS:   21 12:56:13    -1072.662517        4.1805
BFGS:   22 12:56:13    -1073.056560        4.2544
BFGS:   23 12:56:13    -1073.413993        4.3867
BFGS:   24 12:56:13    -1073.743635        4.5274
BFGS:   25 12:56:13    -1074.060106        4.6359
BFGS:   26 12:56:13    -1074.380079        4.7881
BFGS:   27 12:56:13    -1074.699752        4.8820
BFGS:   28 12:56:13    -1074.991353        4.9241
BFGS:   29 12:56:13    -1075.313222        4.7692
BFGS:   30 12:56:13    -1075.607731        4.5759
BFGS:   31 12:56:13    -1075.881690        4.3433
BFGS:   32 12:56:13    -1076.140422        4.1109
BFGS:   33 12:56:13    -1076.385241        3.8503
BFGS:   34 12:56:13    -1076.615021        3.5339
BFGS:   35 12:56:13    -1076.837633        3.1369
BFGS:   36 12:56:13    -1077.045650        2.7022
BFGS:   37 12:56:13    -1077.234208        2.2658
BFGS:   38 12:56:13    -1077.414309        1.7622
BFGS:   39 12:56:13    -1077.574881        1.3755
BFGS:   40 12:56:13    -1077.715230        1.3807
BFGS:   41 12:56:13    -1077.836879        1.4204
BFGS:   42 12:56:13    -1077.945223        1.5180
BFGS:   43 12:56:13    -1078.046475        1.6708
BFGS:   44 12:56:13    -1078.141600        1.8927
BFGS:   45 12:56:13    -1078.236995        2.1921
BFGS:   46 12:56:14    -1078.335996        2.5318
BFGS:   47 12:56:14    -1078.432902        2.8461
BFGS:   48 12:56:14    -1078.520757        3.0623
BFGS:   49 12:56:14    -1078.610620        3.1604
BFGS:   50 12:56:14    -1078.703302        3.1930
BFGS:   51 12:56:14    -1078.799285        3.1538
BFGS:   52 12:56:14    -1078.898447        3.0606
BFGS:   53 12:56:14    -1079.000834        2.9180
BFGS:   54 12:56:14    -1079.106044        2.7374
BFGS:   55 12:56:14    -1079.213367        2.5289
BFGS:   56 12:56:14    -1079.322020        2.3044
BFGS:   57 12:56:14    -1079.431170        2.1967
BFGS:   58 12:56:14    -1079.539884        2.1317
BFGS:   59 12:56:14    -1079.632795        2.0897
BFGS:   60 12:56:14    -1079.747253        2.0507
BFGS:   61 12:56:14    -1079.852301        1.9583
BFGS:   62 12:56:14    -1079.955443        1.8725
BFGS:   63 12:56:14    -1080.056067        1.7789
BFGS:   64 12:56:14    -1080.154132        1.6876
BFGS:   65 12:56:14    -1080.249176        1.5987
BFGS:   66 12:56:14    -1080.340985        1.5216
BFGS:   67 12:56:14    -1080.429655        1.4722
BFGS:   68 12:56:14    -1080.515105        1.4267
BFGS:   69 12:56:14    -1080.597191        1.3804
BFGS:   70 12:56:14    -1080.675598        1.3282
BFGS:   71 12:56:14    -1080.750082        1.2577
BFGS:   72 12:56:14    -1080.820269        1.1608
