nan	nan	nan	-1.080429497186627970e+02	1.981024529910087585e+04	9.655800066709518433e+03	1.014760230755805969e+04
nan	nan	nan	-1.107753522488798978e+02	1.996228058958053589e+04	1.018024961018562317e+04	9.775087433576583862e+03
nan	nan	nan	-1.107713039603521281e+02	1.752257819318771362e+04	7.311877101898193359e+03	1.020310621142387390e+04
nan	nan	nan	-1.107740578317907136e+02	1.845454026484489441e+04	8.204444302082061768e+03	1.024285114097595215e+04
nan	nan	nan	-1.107760647083283203e+02	1.868819382548332214e+04	8.401964175701141357e+03	1.027847327280044556e+04
nan	nan	nan	-1.107669070856549922e+02	2.262983217883110046e+04	1.232063441896438599e+04	1.030211830472946167e+04
nan	nan	nan	-1.080801357328374905e+02	1.816208930492401123e+04	8.540283345937728882e+03	9.615196550607681274e+03
nan	nan	nan	-1.107758912251397021e+02	1.870666497659683228e+04	8.701787235260009766e+03	9.998000172376632690e+03
nan	nan	nan	-1.106836066975985773e+02	1.776421941494941711e+04	7.721517079353332520e+03	1.003521622848510742e+04
nan	nan	nan	-1.025687175335065859e+02	1.501180003595352173e+04	5.193810048103332520e+03	9.811249260663986206e+03
5.000000000000000000e+01	3.010000000000000000e+02	-1.134464655213872675e+02	-1.134465440252199642e+02	1.868237102127075195e+04	8.920423557043075562e+03	9.755264972925186157e+03
nan	nan	nan	-1.080743103811506103e+02	1.735437503623962402e+04	8.038141047716140747e+03	9.310374924421310425e+03
1.700000000000000000e+01	2.710000000000000000e+02	-1.134425083551248576e+02	-1.134425083551248576e+02	1.815677233719825745e+04	8.084508852481842041e+03	1.006490053868293762e+04
nan	nan	nan	-1.107510667636307744e+02	1.699706471395492554e+04	6.767706783771514893e+03	1.022138743376731873e+04
nan	nan	nan	-1.107755594043055964e+02	2.090750342345237732e+04	1.113003679442405701e+04	9.770389151811599731e+03
nan	nan	nan	-1.107247416434683345e+02	1.644068929648399353e+04	6.373791337728500366e+03	1.005970284771919250e+04
