      Step     Time          Energy         fmax
BFGS:    0 17:13:10     -171.698291        5.8749
BFGS:    1 17:13:19     -172.778611        5.7360
BFGS:    2 17:13:27     -173.427708        5.1914
BFGS:    3 17:13:36     -174.051040        4.6589
BFGS:    4 17:13:44     -174.684343        4.3048
BFGS:    5 17:13:53     -175.322685        4.6518
BFGS:    6 17:14:01     -175.896906        4.8168
BFGS:    7 17:14:10     -176.404468        4.8003
BFGS:    8 17:14:18     -176.857673        4.5526
BFGS:    9 17:14:26     -177.259272        4.1434
BFGS:   10 17:14:33     -177.613312        3.4803
BFGS:   11 17:14:41     -177.932577        2.7375
BFGS:   12 17:14:50     -178.224307        2.6201
BFGS:   13 17:14:59     -178.479572        2.2736
BFGS:   14 17:15:07     -178.700783        1.8952
BFGS:   15 17:15:15     -178.895713        1.4612
BFGS:   16 17:15:23     -179.077560        1.5630
BFGS:   17 17:15:31     -179.243054        1.5933
BFGS:   18 17:15:39     -179.367349        1.4112
BFGS:   19 17:15:47     -179.466334        1.2699
BFGS:   20 17:15:56     -179.542782        0.9747
BFGS:   21 17:16:04     -179.604696        0.7434
BFGS:   22 17:16:12     -179.659111        0.8864
BFGS:   23 17:16:20     -179.703705        0.9865
BFGS:   24 17:16:29     -179.753369        1.0094
BFGS:   25 17:16:37     -179.803438        0.9623
BFGS:   26 17:16:45     -179.863112        0.8225
BFGS:   27 17:16:53     -179.931210        0.9278
BFGS:   28 17:17:01     -180.005059        1.0788
BFGS:   29 17:17:09     -180.083636        1.2000
BFGS:   30 17:17:16     -180.173894        1.2806
BFGS:   31 17:17:24     -180.278520        1.2960
BFGS:   32 17:17:32     -180.393624        1.3393
BFGS:   33 17:17:41     -180.507380        1.5198
BFGS:   34 17:17:49     -180.631422        1.7108
BFGS:   35 17:17:57     -180.773693        1.8087
BFGS:   36 17:18:05     -180.934464        1.8296
BFGS:   37 17:18:12     -181.127440        1.8014
BFGS:   38 17:18:20     -181.312526        1.6893
BFGS:   39 17:18:28     -181.505559        1.6548
BFGS:   40 17:18:35     -181.695062        1.4500
BFGS:   41 17:18:42     -181.857943        1.2974
BFGS:   42 17:18:50     -181.994643        0.8787
BFGS:   43 17:18:57     -182.063692        0.8134
BFGS:   44 17:19:05     -182.110106        0.8295
BFGS:   45 17:19:12     -182.143286        0.6119
BFGS:   46 17:19:20     -182.179309        0.5227
BFGS:   47 17:19:27     -182.201072        0.4566
BFGS:   48 17:19:35     -182.222601        0.3671
BFGS:   49 17:19:43     -182.240610        0.3429
BFGS:   50 17:19:49     -182.258749        0.3437
BFGS:   51 17:19:55     -182.269944        0.1947
BFGS:   52 17:20:00     -182.278491        0.1958
BFGS:   53 17:20:08     -182.290227        0.2803
BFGS:   54 17:20:12     -182.295004        0.2003
BFGS:   55 17:20:18     -182.299108        0.1447
BFGS:   56 17:20:22     -182.301323        0.1279
BFGS:   57 17:20:28     -182.305788        0.1338
BFGS:   58 17:20:33     -182.310597        0.1810
BFGS:   59 17:20:39     -182.315645        0.2263
BFGS:   60 17:20:44     -182.321433        0.1763
BFGS:   61 17:20:51     -182.328643        0.2410
BFGS:   62 17:20:55     -182.333268        0.1793
BFGS:   63 17:21:03     -182.338901        0.1326
BFGS:   64 17:21:08     -182.342692        0.1453
BFGS:   65 17:21:17     -182.346557        0.1704
BFGS:   66 17:21:22     -182.348349        0.1160
BFGS:   67 17:21:28     -182.350193        0.1136
BFGS:   68 17:21:33     -182.351626        0.1056
BFGS:   69 17:21:39     -182.353196        0.1587
BFGS:   70 17:21:44     -182.356381        0.1371
BFGS:   71 17:21:51     -182.361395        0.1181
BFGS:   72 17:21:56     -182.364171        0.1056
BFGS:   73 17:22:00     -182.364443        0.0933
