      Step     Time          Energy         fmax
BFGS:    0 20:44:14     -880.504378       73.9888
BFGS:    1 20:44:14     -910.665809      128.7742
BFGS:    2 20:44:14     -936.833994      115.1317
BFGS:    3 20:44:14     -950.742887      124.7178
BFGS:    4 20:44:14     -964.175039      130.5884
BFGS:    5 20:44:14     -977.321700      131.6165
BFGS:    6 20:44:14     -986.865080      121.6334
BFGS:    7 20:44:14     -997.197860      107.8201
BFGS:    8 20:44:14    -1004.772235      111.2603
BFGS:    9 20:44:14    -1011.801645       99.7184
BFGS:   10 20:44:14    -1016.586893       73.7963
BFGS:   11 20:44:14    -1019.268993       20.3326
BFGS:   12 20:44:14    -1019.597351        2.9596
BFGS:   13 20:44:14    -1019.611863        1.7254
BFGS:   14 20:44:14    -1019.622235        0.7034
BFGS:   15 20:44:14    -1019.625387        0.3378
BFGS:   16 20:44:14    -1019.626770        0.1552
BFGS:   17 20:44:14    -1019.627319        0.0734
