      Step     Time          Energy         fmax
BFGS:    0 15:13:22     -165.776350       13.9333
BFGS:    1 15:13:31     -167.263290        8.7929
BFGS:    2 15:13:40     -168.850975        6.4830
BFGS:    3 15:13:49     -170.091787        4.2670
BFGS:    4 15:13:59     -171.190972        3.5189
BFGS:    5 15:14:08     -172.007212        3.4027
BFGS:    6 15:14:17     -172.672080        3.1319
BFGS:    7 15:14:26     -173.237741        2.7031
BFGS:    8 15:14:35     -173.736160        2.5071
BFGS:    9 15:14:44     -174.177475        2.4634
BFGS:   10 15:14:52     -174.543252        2.5085
BFGS:   11 15:15:00     -174.858240        2.4876
BFGS:   12 15:15:08     -175.146950        2.4568
BFGS:   13 15:15:15     -175.420044        2.3977
BFGS:   14 15:15:23     -175.686753        2.3331
BFGS:   15 15:15:31     -175.951827        2.1980
BFGS:   16 15:15:39     -176.222630        2.2459
BFGS:   17 15:15:47     -176.493665        2.3931
BFGS:   18 15:15:55     -176.768509        2.4341
BFGS:   19 15:16:03     -177.037911        2.3457
BFGS:   20 15:16:11     -177.296579        2.1237
BFGS:   21 15:16:18     -177.539570        2.0395
BFGS:   22 15:16:26     -177.767969        1.9605
BFGS:   23 15:16:34     -177.979058        1.7829
BFGS:   24 15:16:42     -178.181588        1.6679
BFGS:   25 15:16:51     -178.376367        1.4980
BFGS:   26 15:16:59     -178.563888        1.3057
BFGS:   27 15:17:08     -178.738704        1.0537
BFGS:   28 15:17:16     -178.879597        0.8125
BFGS:   29 15:17:25     -178.988397        0.6940
BFGS:   30 15:17:33     -179.077472        1.0536
BFGS:   31 15:17:41     -179.142607        1.1324
BFGS:   32 15:17:50     -179.193884        0.8362
BFGS:   33 15:17:58     -179.260160        0.7309
BFGS:   34 15:18:06     -179.314275        0.9532
BFGS:   35 15:18:14     -179.360748        0.9855
BFGS:   36 15:18:22     -179.410882        0.7468
BFGS:   37 15:18:31     -179.453042        0.7921
BFGS:   38 15:18:40     -179.492791        0.6112
BFGS:   39 15:18:48     -179.519791        0.3311
BFGS:   40 15:18:55     -179.535769        0.3209
BFGS:   41 15:19:02     -179.546919        0.3814
BFGS:   42 15:19:09     -179.554990        0.2854
BFGS:   43 15:19:16     -179.560730        0.2089
BFGS:   44 15:19:23     -179.566216        0.1849
BFGS:   45 15:19:29     -179.571326        0.1846
BFGS:   46 15:19:36     -179.575991        0.2041
BFGS:   47 15:19:42     -179.579117        0.1472
BFGS:   48 15:19:50     -179.583795        0.1206
BFGS:   49 15:19:56     -179.586221        0.1107
BFGS:   50 15:20:03     -179.589084        0.1109
BFGS:   51 15:20:09     -179.590872        0.1056
BFGS:   52 15:20:16     -179.594032        0.1114
BFGS:   53 15:20:21     -179.596099        0.1017
BFGS:   54 15:20:29     -179.597767        0.1307
BFGS:   55 15:20:36     -179.599455        0.0696
