1.250000000000000000e+02	2.630000000000000000e+02	-1.134436653346268997e+02	-1.134436653346268997e+02	1.401650494432449341e+04	1.139886408805847168e+04	2.609544055700302124e+03	0.000000000000000000e+00
nan	nan	nan	-1.107769104198593908e+02	1.421049328041076660e+04	1.139723375248908997e+04	2.781682662725448608e+03	0.000000000000000000e+00
nan	nan	nan	-1.107128126863342743e+02	1.031326575946807861e+04	7.650865328788757324e+03	2.657358909606933594e+03	0.000000000000000000e+00
2.040000000000000000e+02	5.110000000000000000e+02	-1.134464220329746382e+02	-1.134464220329746382e+02	1.440712161731719971e+04	1.151874917626380920e+04	2.881513049125671387e+03	0.000000000000000000e+00
nan	nan	nan	-1.107753872779687043e+02	1.448346861314773560e+04	1.178085155153274536e+04	2.696968825101852417e+03	0.000000000000000000e+00
nan	nan	nan	-1.107636891517613691e+02	1.071732869195938110e+04	8.018551333427429199e+03	2.693094892263412476e+03	0.000000000000000000e+00
1.170000000000000000e+02	4.120000000000000000e+02	-1.134351752216733757e+02	-1.134351752216733757e+02	1.447325447702407837e+04	1.150533714771270752e+04	2.961034964323043823e+03	0.000000000000000000e+00
nan	nan	nan	-1.107642751769368630e+02	9.739496369838714600e+03	7.169454273223876953e+03	2.565238150358200073e+03	0.000000000000000000e+00
2.730000000000000000e+02	5.250000000000000000e+02	-1.134441975171919665e+02	-1.134443190527791074e+02	1.403441675901412964e+04	1.129135550308227539e+04	2.736794461011886597e+03	0.000000000000000000e+00
1.520000000000000000e+02	3.680000000000000000e+02	-1.134453937956726861e+02	-1.134453937956726861e+02	1.451601448798179626e+04	1.174673137545585632e+04	2.763287060737609863e+03	0.000000000000000000e+00
nan	nan	nan	-1.107765689036105812e+02	1.424676239490509033e+04	1.137803981590270996e+04	2.862714962005615234e+03	0.000000000000000000e+00
nan	nan	nan	-1.107763043082442636e+02	1.453893985176086426e+04	1.179800583052635193e+04	2.735224807262420654e+03	0.000000000000000000e+00
nan	nan	nan	-1.107766213704112488e+02	9.922427401304244995e+03	7.035732830762863159e+03	2.880437902688980103e+03	2.000000000000000000e+00
nan	nan	nan	-1.107770273316612020e+02	1.422295124983787537e+04	1.137162049460411072e+04	2.845090824365615845e+03	0.000000000000000000e+00
nan	nan	nan	-1.107765957812181341e+02	1.177504915237426758e+04	9.017891856908798218e+03	2.751031527042388916e+03	0.000000000000000000e+00
