      Step     Time          Energy         fmax
BFGS:    0 09:10:52       -9.259181       22.2003
BFGS:    1 09:10:52      -10.857162       12.7861
BFGS:    2 09:10:52      -12.504885       12.2770
BFGS:    3 09:10:52      -14.069149       11.5904
BFGS:    4 09:10:52      -15.397068       11.6382
BFGS:    5 09:10:52      -16.416349       11.5679
BFGS:    6 09:10:52      -17.076811       11.5788
BFGS:    7 09:10:52      -17.608103       13.9836
BFGS:    8 09:10:52      -17.984065       15.0070
BFGS:    9 09:10:52      -18.333016       15.1419
BFGS:   10 09:10:52      -18.668526       12.7318
BFGS:   11 09:10:52      -19.016334       10.8997
BFGS:   12 09:10:52      -19.541189        9.1808
BFGS:   13 09:10:52      -20.293997       11.0447
BFGS:   14 09:10:52      -21.207486       11.3061
BFGS:   15 09:10:52      -22.052461        7.2707
BFGS:   16 09:10:52      -22.797576        6.9903
BFGS:   17 09:10:52      -23.392963        8.2380
BFGS:   18 09:10:52      -23.851731        6.2498
BFGS:   19 09:10:52      -24.123085        7.0193
BFGS:   20 09:10:52      -24.447034        6.8105
BFGS:   21 09:10:52      -24.702261        6.0708
BFGS:   22 09:10:52      -25.457673        7.2826
BFGS:   23 09:10:52      -26.096781        6.9463
BFGS:   24 09:10:52      -26.456597        6.4821
BFGS:   25 09:10:52      -26.531968        6.6566
BFGS:   26 09:10:52      -26.580078        6.5185
BFGS:   27 09:10:52      -26.601203        6.2712
BFGS:   28 09:10:52      -26.618501        6.6620
BFGS:   29 09:10:52      -26.634160        6.8988
BFGS:   30 09:10:52      -26.647858        7.1247
BFGS:   31 09:10:52      -26.714124        8.6754
BFGS:   32 09:10:52      -26.851197       10.2024
BFGS:   33 09:10:52      -27.201385       12.2970
BFGS:   34 09:10:52      -27.638223       15.1371
BFGS:   35 09:10:52      -27.970815       14.8184
BFGS:   36 09:10:52      -28.155356       12.3433
BFGS:   37 09:10:52      -28.300477       12.1759
BFGS:   38 09:10:52      -28.641904       10.3642
BFGS:   39 09:10:52      -28.912146        8.2793
BFGS:   40 09:10:52      -29.047423        5.2735
BFGS:   41 09:10:52      -29.076416        4.8007
BFGS:   42 09:10:52      -29.090976        4.5087
BFGS:   43 09:10:52      -29.099788        5.0148
BFGS:   44 09:10:52      -29.108472        5.3644
BFGS:   45 09:10:52      -29.121837        5.5723
BFGS:   46 09:10:52      -29.145531        5.6225
BFGS:   47 09:10:52      -29.172045        5.4468
BFGS:   48 09:10:52      -29.201221        5.1008
BFGS:   49 09:10:52      -29.230517        4.6002
BFGS:   50 09:10:52      -29.252940        4.0577
BFGS:   51 09:10:52      -29.265643        3.6830
BFGS:   52 09:10:52      -29.269967        3.5987
BFGS:   53 09:10:52      -29.271134        3.5501
BFGS:   54 09:10:52      -29.272002        3.4932
BFGS:   55 09:10:52      -29.272689        3.4376
BFGS:   56 09:10:52      -29.273252        3.4830
BFGS:   57 09:10:52      -29.273571        3.5259
BFGS:   58 09:10:52      -29.273736        3.5112
BFGS:   59 09:10:52      -29.273809        3.5587
BFGS:   60 09:10:52      -29.273847        3.5344
BFGS:   61 09:10:52      -29.273861        3.5204
BFGS:   62 09:10:52      -29.273863        3.5194
BFGS:   63 09:10:52      -29.273871        3.5187
BFGS:   64 09:10:52      -29.273878        3.5190
BFGS:   65 09:10:52      -29.273907        3.5210
BFGS:   66 09:10:52      -29.273974        3.5240
BFGS:   67 09:10:53      -29.274159        3.5294
BFGS:   68 09:10:53      -29.274633        3.5366
BFGS:   69 09:10:53      -29.275893        3.5447
BFGS:   70 09:10:53      -29.279195        3.5456
BFGS:   71 09:10:53      -29.287847        3.5113
BFGS:   72 09:10:53      -29.306631        3.3599
BFGS:   73 09:10:53      -29.337014        3.0146
BFGS:   74 09:10:53      -29.377165        2.4621
BFGS:   75 09:10:53      -29.419277        1.7153
BFGS:   76 09:10:53      -29.451304        1.0684
BFGS:   77 09:10:53      -29.465425        0.2446
BFGS:   78 09:10:53      -29.460100        0.7479
BFGS:   79 09:10:53      -29.466102        0.0872
