      Step     Time          Energy         fmax
BFGS:    0 09:16:59       -6.210414       18.5962
BFGS:    1 09:16:59       -7.529582       12.0997
BFGS:    2 09:16:59       -8.674469       12.1319
BFGS:    3 09:16:59       -9.677824       11.5883
BFGS:    4 09:16:59      -10.656108       10.0794
BFGS:    5 09:16:59      -11.645373        9.4235
BFGS:    6 09:16:59      -12.457537        9.5351
BFGS:    7 09:16:59      -13.068473       10.0579
BFGS:    8 09:16:59      -13.609227       12.7036
BFGS:    9 09:16:59      -14.127114       14.8872
BFGS:   10 09:16:59      -14.549274       14.5859
BFGS:   11 09:16:59      -15.037369       13.8692
BFGS:   12 09:16:59      -15.503203       11.0597
BFGS:   13 09:16:59      -15.899201        8.2770
BFGS:   14 09:16:59      -16.211421        6.2146
BFGS:   15 09:16:59      -16.550268        5.2669
BFGS:   16 09:16:59      -16.992919        7.2432
BFGS:   17 09:16:59      -17.500176        9.6275
BFGS:   18 09:16:59      -17.854983       12.8546
BFGS:   19 09:16:59      -18.138710       12.3292
BFGS:   20 09:16:59      -18.421943        7.5487
BFGS:   21 09:16:59      -18.656564        3.9799
BFGS:   22 09:16:59      -18.774210        2.4810
BFGS:   23 09:16:59      -18.820467        1.7466
BFGS:   24 09:16:59      -18.848017        1.2781
BFGS:   25 09:16:59      -18.860026        1.1595
BFGS:   26 09:16:59      -18.867188        0.7794
BFGS:   27 09:16:59      -18.873076        0.6017
BFGS:   28 09:16:59      -18.885619        1.2671
BFGS:   29 09:16:59      -18.907557        2.0101
BFGS:   30 09:16:59      -18.952224        2.4909
BFGS:   31 09:16:59      -19.031284        2.7415
BFGS:   32 09:16:59      -19.160300        3.3608
BFGS:   33 09:16:59      -19.363083        5.0266
BFGS:   34 09:16:59      -19.661528        7.2714
BFGS:   35 09:16:59      -20.044246        8.8280
BFGS:   36 09:16:59      -20.444068        8.7494
BFGS:   37 09:16:59      -20.778541        7.2352
BFGS:   38 09:16:59      -21.047759        5.3843
BFGS:   39 09:16:59      -21.258186        4.2026
BFGS:   40 09:16:59      -21.398527        2.7822
BFGS:   41 09:16:59      -21.454472        2.0558
BFGS:   42 09:16:59      -21.466892        1.6480
BFGS:   43 09:16:59      -21.481315        0.2783
BFGS:   44 09:16:59      -21.481481        0.2704
BFGS:   45 09:16:59      -21.481574        0.2364
BFGS:   46 09:16:59      -21.481667        0.2582
BFGS:   47 09:16:59      -21.481794        0.2716
BFGS:   48 09:17:00      -21.482035        0.2800
BFGS:   49 09:17:00      -21.482824        0.3243
BFGS:   50 09:17:00      -21.485387        0.5038
BFGS:   51 09:17:00      -21.490768        0.5776
BFGS:   52 09:17:00      -21.499159        0.5769
BFGS:   53 09:17:00      -21.509635        0.5233
BFGS:   54 09:17:00      -21.521514        0.5108
BFGS:   55 09:17:00      -21.535961        0.7879
BFGS:   56 09:17:00      -21.555741        1.0685
BFGS:   57 09:17:00      -21.586332        1.3535
BFGS:   58 09:17:00      -21.635985        1.8189
BFGS:   59 09:17:00      -21.722062        2.6636
BFGS:   60 09:17:00      -21.878222        4.1822
BFGS:   61 09:17:00      -22.148860        6.2905
BFGS:   62 09:17:00      -22.535876        7.8706
BFGS:   63 09:17:00      -22.945528        7.4716
BFGS:   64 09:17:00      -23.259957        7.2297
BFGS:   65 09:17:00      -23.504422        6.5849
BFGS:   66 09:17:00      -23.713542        5.5444
BFGS:   67 09:17:00      -23.884311        4.1139
BFGS:   68 09:17:00      -24.004087        2.4870
BFGS:   69 09:17:00      -24.063947        0.7458
BFGS:   70 09:17:00      -24.069635        0.1901
BFGS:   71 09:17:00      -24.069710        0.1388
BFGS:   72 09:17:00      -24.069839        0.0971
