1.950000000000000000e+02	3.950000000000000000e+02	-1.134445208532951312e+02	-1.134445208532951312e+02	1.987297902321815491e+04	1.645532575321197510e+04	3.407042959451675415e+03
1.380000000000000000e+02	3.880000000000000000e+02	-1.134456854066859535e+02	-1.134456854066859535e+02	1.964657852554321289e+04	1.624396974945068359e+04	3.391300870895385742e+03
nan	nan	nan	-1.107766068839468261e+02	1.977198304176330566e+04	1.613537121272087097e+04	3.625341667890548706e+03
nan	nan	nan	-1.107772072642205075e+02	1.878806759667396545e+04	1.536387831664085388e+04	3.413287984371185303e+03
nan	nan	nan	-1.107560948459984047e+02	1.939282303857803345e+04	1.611179004120826721e+04	3.270848109960556030e+03
8.000000000000000000e+01	2.830000000000000000e+02	-1.134458048137968831e+02	-1.134470654927236666e+02	1.936395405769348145e+04	1.593621632194519043e+04	3.417432411909103394e+03
2.090000000000000000e+02	4.190000000000000000e+02	-1.134470537768861078e+02	-1.134470537768861078e+02	1.917749276137351990e+04	1.582540717768669128e+04	3.341598847150802612e+03
nan	nan	nan	-1.107756876110875055e+02	1.947485296964645386e+04	1.593532454490661621e+04	3.529039683103561401e+03
nan	nan	nan	-1.107682046942597509e+02	2.011752265620231628e+04	1.660860143661499023e+04	3.497896149635314941e+03
nan	nan	nan	-1.107765091473828818e+02	1.977304195857048035e+04	1.623501899528503418e+04	3.526672840595245361e+03
2.310000000000000000e+02	4.200000000000000000e+02	-1.134352964750225254e+02	-1.134352964750225254e+02	2.047133347344398499e+04	1.713032877278327942e+04	3.330838505029678345e+03
7.600000000000000000e+01	3.160000000000000000e+02	-1.134388061504068617e+02	-1.134450010983977535e+02	1.914985551071166992e+04	1.564840557527542114e+04	3.490425439596176147e+03
2.670000000000000000e+02	4.460000000000000000e+02	-1.134403893294680188e+02	-1.134414579364708828e+02	1.968206439900398254e+04	1.632961195755004883e+04	3.342439415216445923e+03
nan	nan	nan	-1.107767061401564348e+02	2.009047511291503906e+04	1.679950644063949585e+04	3.281523300886154175e+03
nan	nan	nan	-1.107747902207031814e+02	1.983723199152946472e+04	1.656051621270179749e+04	3.266237899780273438e+03
