         82330516 function calls (76560663 primitive calls) in 439.952 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1307018    3.544    0.000    3.611    0.000 {built-in method numpy.core.multiarray.dot}
        1    0.000    0.000    3.442    3.442 __init__.py:89(<module>)
  1136562    0.544    0.000    3.361    0.000 _methods.py:40(_all)
    14481    0.374    0.000    3.316    0.000 atoms.py:646(set_positions)
        1    0.000    0.000    3.271    3.271 startgenerator.py:1(<module>)
        5    0.001    0.000    3.172    0.634 globalOptim_ase3d.py:468(add_trajectory_to_training)
    14595    0.118    0.000    2.954    0.000 trajectory.py:285(headers_equal)
   308055    0.463    0.000    2.946    0.000 numeric.py:3064(__enter__)
      601    0.377    0.001    2.914    0.005 globalOptim_ase3d.py:124(rattle_atom2d_center)
  1472544    0.743    0.000    2.855    0.000 copy.py:273(<genexpr>)
  2255752    2.056    0.000    2.833    0.000 copy.py:252(_keep_alive)
    58380    0.311    0.000    2.829    0.000 numeric.py:2565(array_equal)
   347544    2.358    0.000    2.808    0.000 constraints.py:370(adjust_positions)
   444601    0.233    0.000    2.788    0.000 numeric.py:463(asarray)
    62854    0.411    0.000    2.760    0.000 ulm.py:250(write)
        5    0.000    0.000    2.756    0.551 formats.py:391(read)
      939    0.002    0.000    2.755    0.003 formats.py:456(_iread)
      939    0.006    0.000    2.753    0.003 trajectory.py:344(read_traj)
      934    0.023    0.000    2.743    0.003 trajectory.py:250(__getitem__)
 11494375    2.736    0.000    2.736    0.000 {method 'get' of 'dict' objects}
   308055    0.466    0.000    2.543    0.000 numeric.py:3069(__exit__)
     7059    0.021    0.000    2.509    0.000 dftb.py:178(check_state)
      100    0.006    0.000    2.455    0.025 globalOptim_ase3d.py:450(trainModel)
      100    0.437    0.004    2.435    0.024 krr_ase.py:144(train)
    31630    0.719    0.000    2.386    0.000 atoms.py:129(__init__)
        2    0.000    0.000    2.299    1.150 __init__.py:7(<module>)
        1    0.000    0.000    2.097    2.097 __init__.py:4(<module>)
        1    0.000    0.000    1.966    1.966 matfuncs.py:3(<module>)
   616110    1.823    0.000    1.938    0.000 numeric.py:2767(geterr)
      100    0.009    0.000    1.927    0.019 krr_ase.py:201(__gridSearch)
    14965    0.239    0.000    1.922    0.000 ulm.py:213(sync)
        1    0.000    0.000    1.890    1.890 __init__.py:634(<module>)
    14965    0.138    0.000    1.860    0.000 trajectory.py:318(write_atoms)
    75533    1.703    0.000    1.703    0.000 {method 'tofile' of 'numpy.ndarray' objects}
     1032    0.025    0.000    1.633    0.002 subprocess.py:588(__init__)
        1    0.000    0.000    1.618    1.618 _spherical_voronoi.py:6(<module>)
  9041417    1.613    0.000    1.613    0.000 {built-in method builtins.id}
     1032    0.080    0.000    1.603    0.002 subprocess.py:1208(_execute_child)
        1    0.000    0.000    1.490    1.490 distance.py:72(<module>)
        1    0.000    0.000    1.487    1.487 atoms.py:8(<module>)
      500    0.139    0.000    1.486    0.003 krr_ase.py:244(__cross_validation)
    11352    1.171    0.000    1.427    0.000 atoms.py:1604(get_all_distances)
     1032    0.038    0.000    1.396    0.001 dftb.py:187(write_input)
        1    0.000    0.000    1.379    1.379 constraints.py:1(<module>)
        1    0.000    0.000    1.334    1.334 __init__.py:180(<module>)
  3859520    1.330    0.000    1.330    0.000 {built-in method builtins.isinstance}
  2391863    1.327    0.000    1.327    0.000 {built-in method builtins.getattr}
     1034    0.008    0.000    1.317    0.001 singlepoint.py:17(__init__)
        1    0.000    0.000    1.273    1.273 _ellip_harm.py:1(<module>)
        2    0.000    0.000    1.244    0.622 __init__.py:45(<module>)
   736272    1.239    0.000    1.239    0.000 {method '__reduce_ex__' of 'object' objects}
  1286898    1.230    0.000    1.230    0.000 {built-in method builtins.hasattr}
    14481    0.573    0.000    1.222    0.000 bfgs.py:88(update)
      934    0.016    0.000    1.151    0.001 trajectory.py:293(read_atoms)
    30202    0.183    0.000    1.151    0.000 ulm.py:204(fill)
        1    0.000    0.000    1.139    1.139 __init__.py:86(<module>)
        1    0.000    0.000    1.086    1.086 kdtree.py:3(<module>)
    30202    0.351    0.000    1.070    0.000 ulm.py:172(add_array)
        1    0.000    0.000    1.035    1.035 decorators.py:15(<module>)
    55114    0.349    0.000    1.025    0.000 distance.py:241(_validate_cdist_input)
     1873    0.008    0.000    1.012    0.001 jsonio.py:65(decode)
        1    0.000    0.000    1.000    1.000 __init__.py:220(<module>)
        1    0.000    0.000    0.982    0.982 utils.py:4(<module>)
    45113    0.095    0.000    0.977    0.000 ulm.py:98(writeint)
   350151    0.819    0.000    0.977    0.000 numeric.py:2135(isscalar)
   934856    0.456    0.000    0.956    0.000 numeric.py:534(asanyarray)
        1    0.000    0.000    0.946    0.946 calculator.py:1(<module>)
