1.000000000000000000e+01	9.884597719235740584e-03	1.220531955227678600e-02	1.040267083827881370e-02	1.363318320313927634e-02	4.591436797632988259e-02	1.734173769191199935e-02	1.610036446621727554e-02	2.536007602149318862e-01	8.822618505849963433e-03	3.415799440416898008e-02	2.810989581575521964e-02	3.314937779817174468e-02	3.960939812986869618e-02	4.715759986516330354e-02
1.200000000000000000e+01	7.418880850897043022e-03	4.687857388758581018e-03	3.910727583783753236e-03	2.934560038616308621e-03	6.932633925161125338e-03	6.738032572383419010e-03	6.701717688845361225e-03	1.818150832670015898e-02	8.896494172182597623e-03	4.446352190901656232e-03	1.216402113823784881e-02	1.000302219597063239e-02	8.011714738301117800e-03	9.858500886689011353e-03
1.600000000000000000e+01	1.704617362548268775e-02	5.232565694045083343e-03	3.060790800985719890e-03	2.878449359885191725e-02	2.272135409636991121e-02	1.408281660373864562e-02	1.077764625205003719e-02	1.476050727104780136e-02	1.544523082008910329e-02	6.361993558284251976e-03	1.286354112144316199e-02	6.600864412414621241e-02	1.190004206440351507e-02	1.517935553655159510e-02
2.100000000000000000e+01	1.338720327154589718e-03	9.013178820951557113e-04	1.063052212117395444e-02	1.670729107365488166e-03	1.155895238053652628e-03	3.672671841870470220e-03	1.422457337845719517e-03	4.040480151957140387e-03	5.838851028568833000e-03	1.571626486701330726e-03	1.733075875097022560e-03	9.714022494731971644e-03	2.430292191074338772e-03	2.977724042722386995e-03
2.700000000000000000e+01	7.605578315755557326e-04	3.636334529678533095e-04	2.308056350697459470e-04	4.812773950891412601e-04	1.048084713376279615e-03	9.802569522592895299e-04	5.437021485920834818e-04	6.154575953047177654e-04	8.488989254393791576e-04	1.535578111746495203e-03	5.693542898455070762e-04	2.064189716425964688e-03	7.354260892706562585e-04	2.073627070346735143e-03
3.500000000000000000e+01	9.930392462067871937e-04	6.449907098022376190e-04	4.795554698780200094e-04	9.380757205031836111e-04	7.786770168926139069e-04	4.739209316338696752e-04	6.671061102715530574e-04	6.611258684068452773e-04	5.890160843663305853e-04	1.072450863041410005e-03	4.902212492335871049e-04	1.432690318015501655e-03	7.514100142174169475e-04	2.051181684690832254e-03
4.600000000000000000e+01	1.533411025827714595e-02	2.109644463552055177e-03	7.737958880710142477e-03	5.126645052143197732e-03	1.935595229269612650e-03	9.909451848675525365e-03	9.094709974495305063e-03	6.403988178610276090e-03	6.311124362793942011e-03	1.164705905164051258e-02	3.380315116447543070e-03	3.019212350310442397e-02	5.701234280008013640e-03	1.162624664240883947e-02
5.900000000000000000e+01	1.602581737662463939e-03	7.524684832312405645e-04	2.238506316080428674e-03	1.420016264934495639e-03	2.136810617077806226e-03	1.233603311652669600e-03	1.534443674199595375e-03	1.326100899517399347e-03	1.154726530436923351e-03	1.822953849124874784e-03	2.044207089746835539e-03	2.240251733299675283e-03	2.556164334169958290e-03	2.761825583607313821e-03
7.700000000000000000e+01	5.479877165403074452e-04	6.832490411741088581e-04	1.016632883688991292e-03	6.985923454653564582e-04	7.504496275252860041e-04	5.597509848790274255e-04	5.953385976945039680e-04	8.509603305959691092e-04	9.076887569180184167e-04	8.583607285388069339e-04	2.758048203367964319e-03	9.274105564299889304e-04	8.742064027468136400e-04	1.487383435976857371e-03
1.000000000000000000e+02	6.915336643133615166e-04	3.764802888138476752e-04	7.631181218272644435e-04	3.455373665598275037e-04	6.619454159536999156e-04	5.223659021735487613e-04	4.518457770821022600e-04	4.625646212692336476e-04	7.084524300006597936e-04	3.821500134075784248e-04	9.362640861029185432e-04	5.912266098403107717e-04	5.685116371339937356e-04	7.444830590516973365e-04
