1.030000000000000000e+02	2.495050953691144713e+00	6.077769462136544121e-01	-2.400270208570777442e+01	-2.431728660541999076e+01
1.200000000000000000e+02	5.029880465627663000e+00	8.459206119150763925e-01	-1.366023969860389897e+01	-1.212820854058877629e+01
1.340000000000000000e+02	5.791828779988144049e-01	2.092366988087036361e+00	-2.780627011167090856e+01	-2.790178251496428530e+01
1.410000000000000000e+02	7.100749912442076095e+00	1.014695423016828357e+00	-1.527691038250472388e+01	-1.636530618288203698e+01
1.540000000000000000e+02	6.635920904675913334e+00	3.053498444232861431e+00	-1.768644713525840473e+01	-1.706978210859006850e+01
1.710000000000000000e+02	1.208916916643152106e+01	1.213034739170240073e+00	-1.349352403815229806e+01	-1.552527631741855352e+01
1.880000000000000000e+02	3.692551951581467762e+00	3.697463878582670560e+00	-2.070199465428526864e+01	-2.089297628072487001e+01
2.000000000000000000e+02	7.482438537001563361e-01	1.419048420494302931e+01	-1.451640645989040834e+01	-1.287074972031467368e+01
2.110000000000000000e+02	1.180763327973629373e+01	2.998841079685623967e+00	-1.463310096340802957e+01	-1.517814336693258426e+01
2.360000000000000000e+02	7.272418031463061538e-01	1.979236614861441979e+00	-2.148425840138678211e+01	-2.090165108183528986e+01
