1.000000000000000000e+01	1.910557879152776153e-02	1.046828618983250414e-01	7.926848692433439980e-02	4.264676194137251991e-02	5.109787797838131335e-02	8.177853769334898770e-02	5.487313201061930212e-02	5.129855918046719032e-02	7.548878374266948521e-02	2.685277226276620854e-02	1.177842274686710655e-01	1.204520598894781719e-01	5.976727593876188932e-02	4.094486982155554067e-02	6.523666789619191053e-02
1.100000000000000000e+01	1.055341412303133393e-02	4.255721999111449633e-02	5.353034509640525185e-02	4.576186559023274342e-02	1.063727628491037552e-01	1.728496023597795445e-02	3.235626080048035341e-02	1.973769344352519287e-02	2.457093000766833943e-02	2.308198196814070791e-02	5.343798527176288338e-02	2.112965024492290123e-02	2.326886994451059579e-02	5.104907754845269124e-02	2.210681917734440630e-02
1.300000000000000000e+01	7.534625255757012446e-03	3.794132996342006181e-02	4.553707825181905339e-02	2.512224476261338754e-02	5.313564004821117598e-02	1.880558961495885917e-02	2.711809236838471152e-02	2.480972631115526197e-02	2.183595164265256239e-02	1.138223933688018753e-02	3.776474312923529253e-02	2.612305031967389335e-02	4.731722632019996766e-02	4.424443555678423540e-02	2.101068983867742865e-02
1.600000000000000000e+01	3.430386279963894194e-03	4.411439584242866224e-02	3.298782927151078931e-02	2.058925504220247837e-02	1.954323417393312098e-02	1.769678720189310842e-02	1.172130268925751333e-02	2.167969768274756112e-02	1.760163499775165702e-02	1.186732985378816801e-02	3.410791864180176547e-02	2.609824630280553268e-02	2.122328945446068718e-02	9.738957788381751718e-03	1.632374921537926848e-02
1.800000000000000000e+01	6.083641813033595185e-03	3.864747359533375615e-02	5.189254247852514296e-02	1.794011079335156716e-02	2.181058865872784192e-02	2.710342230411858996e-02	2.413409491851585889e-02	6.549081031482725801e-02	2.729381047570611507e-02	4.354232948652961288e-02	4.527009340962525469e-02	1.474408416105471055e-02	5.115110186764228878e-02	1.779943070490059079e-02	1.617448377781986052e-02
2.200000000000000000e+01	2.854452693396553661e-03	3.299956647826444295e-02	3.794991059650485582e-02	1.598947187706349637e-02	2.697773013613141355e-02	1.443468197083565274e-02	1.487282457675490922e-02	2.796422133694958720e-02	1.815531291601471878e-02	2.057577986622931288e-02	3.168385150981703480e-02	2.040216627561327115e-02	3.932101231675260572e-02	1.433403596086253902e-02	1.165164882618898758e-02
2.500000000000000000e+01	2.851812326688293615e-03	2.450304630315834967e-02	2.766056444774639064e-02	1.541604846389541504e-02	2.224766398185236069e-02	1.584043702987052854e-02	1.086347276609810238e-02	2.429915736395621070e-02	1.370991184991070082e-02	1.355415515917799719e-02	2.316617561408801720e-02	2.268477991655034817e-02	3.603786609471435615e-02	1.467111204240303252e-02	1.352443714135380913e-02
3.000000000000000000e+01	3.462440425578919984e-03	3.477401018017250295e-02	4.000521916387531768e-02	3.006727868985961671e-02	2.025364235630670515e-02	1.560343873446547180e-02	1.391292622282411240e-02	3.471607449016300695e-02	1.731484606925315708e-02	2.477630071059950742e-02	3.809712817808965507e-02	4.246268574275875035e-02	4.340627867677191581e-02	1.807309492312445670e-02	1.642056877783440796e-02
3.500000000000000000e+01	2.477447743116630106e-03	2.791170843556981321e-02	2.536476231536429274e-02	2.139709427642728923e-02	1.894522410042443275e-02	9.861149982534725064e-03	1.194565945004024375e-02	2.803726175199071705e-02	1.365186156474989566e-02	1.596565266887877213e-02	2.780110794497501689e-02	1.115368725405278642e-02	3.360248714513474483e-02	1.454246582575344400e-02	9.227668557838209287e-03
4.100000000000000000e+01	1.082472942919377248e-03	2.152549494723286425e-02	2.558364795817543239e-02	1.468068197418840280e-02	9.585950521302543867e-03	6.921611448151306252e-03	7.613553756000274002e-03	1.532190138877276807e-02	1.162074587910093271e-02	1.265693055640951942e-02	2.528019124735324599e-02	1.538086329300993559e-02	2.411145072952111321e-02	6.281730966773239715e-03	9.609828518347072676e-03
