                Step[ FC]     Time          Energy          fmax
BFGSLineSearch:    0[  0] 11:54:17      -39.916813       16.5525
BFGSLineSearch:    1[  2] 11:54:18      -48.203206       11.6197
BFGSLineSearch:    2[  4] 11:54:18      -51.333163        8.8825
BFGSLineSearch:    3[  7] 11:54:18      -56.427894       18.8412
BFGSLineSearch:    4[  9] 11:54:18      -58.185894       17.7061
BFGSLineSearch:    5[ 11] 11:54:18      -59.792092       16.6880
BFGSLineSearch:    6[ 13] 11:54:18      -61.195398       14.0862
BFGSLineSearch:    7[ 15] 11:54:18      -63.288174       12.1624
BFGSLineSearch:    8[ 17] 11:54:18      -64.220742       11.1336
BFGSLineSearch:    9[ 19] 11:54:18      -65.658481       15.4319
BFGSLineSearch:   10[ 21] 11:54:18      -67.294890       11.8506
BFGSLineSearch:   11[ 23] 11:54:18      -68.411042       12.5543
BFGSLineSearch:   12[ 25] 11:54:18      -69.095029       11.4331
BFGSLineSearch:   13[ 27] 11:54:18      -70.333023       11.1181
BFGSLineSearch:   14[ 29] 11:54:18      -71.132125       10.5156
BFGSLineSearch:   15[ 31] 11:54:19      -71.906529        9.1352
BFGSLineSearch:   16[ 33] 11:54:19      -73.020338       13.0731
BFGSLineSearch:   17[ 35] 11:54:19      -75.268456       12.5700
BFGSLineSearch:   18[ 37] 11:54:19      -76.942504       15.8375
BFGSLineSearch:   19[ 39] 11:54:19      -79.012554       17.0038
BFGSLineSearch:   20[ 41] 11:54:19      -79.730807       18.6847
BFGSLineSearch:   21[ 43] 11:54:19      -81.317007       21.0293
BFGSLineSearch:   22[ 46] 11:54:19      -84.614633       16.2349
BFGSLineSearch:   23[ 48] 11:54:19      -85.477545       12.0540
BFGSLineSearch:   24[ 50] 11:54:19      -86.614763       15.6058
BFGSLineSearch:   25[ 52] 11:54:19      -87.615900       13.3776
BFGSLineSearch:   26[ 54] 11:54:19      -88.573763       11.8239
BFGSLineSearch:   27[ 56] 11:54:19      -89.474676        8.0537
BFGSLineSearch:   28[ 58] 11:54:20      -90.065096        7.2877
BFGSLineSearch:   29[ 60] 11:54:20      -90.795848        7.4419
BFGSLineSearch:   30[ 62] 11:54:20      -91.276156       10.7561
BFGSLineSearch:   31[ 64] 11:54:20      -92.022926       11.5741
BFGSLineSearch:   32[ 66] 11:54:20      -92.552102       10.7713
BFGSLineSearch:   33[ 68] 11:54:20      -93.708766       12.3274
BFGSLineSearch:   34[ 70] 11:54:20      -95.289670       15.5334
BFGSLineSearch:   35[ 72] 11:54:20      -95.874468       20.7663
BFGSLineSearch:   36[ 74] 11:54:20      -96.983759       18.9071
BFGSLineSearch:   37[ 76] 11:54:20      -97.971287       18.1709
BFGSLineSearch:   38[ 78] 11:54:20      -98.861831       13.6610
BFGSLineSearch:   39[ 80] 11:54:20      -99.871442        7.9260
BFGSLineSearch:   40[ 82] 11:54:20     -100.804436        8.6834
BFGSLineSearch:   41[ 84] 11:54:20     -102.186183        7.8160
BFGSLineSearch:   42[ 86] 11:54:21     -104.574484       11.1485
BFGSLineSearch:   43[ 88] 11:54:21     -105.081254       12.0124
BFGSLineSearch:   44[ 89] 11:54:21     -107.761128       16.3497
BFGSLineSearch:   45[ 91] 11:54:21     -108.861825       16.5215
BFGSLineSearch:   46[ 93] 11:54:21     -110.139015        5.9774
BFGSLineSearch:   47[ 95] 11:54:21     -110.583007        3.2320
BFGSLineSearch:   48[ 97] 11:54:21     -110.697287        2.4072
BFGSLineSearch:   49[ 98] 11:54:21     -110.745253        1.4974
BFGSLineSearch:   50[ 99] 11:54:21     -110.769409        0.7671
BFGSLineSearch:   51[100] 11:54:21     -110.775886        0.3426
BFGSLineSearch:   52[101] 11:54:21     -110.776479        0.1688
BFGSLineSearch:   53[102] 11:54:21     -110.776726        0.0655
