                Step[ FC]     Time          Energy          fmax
BFGSLineSearch:    0[  0] 11:57:50      -47.990260       32.1197
BFGSLineSearch:    1[  2] 11:57:50      -58.376647       21.2063
BFGSLineSearch:    2[  4] 11:57:50      -63.762961       10.2618
BFGSLineSearch:    3[  6] 11:57:50      -66.232888       12.5544
BFGSLineSearch:    4[  8] 11:57:50      -68.116120       11.7891
BFGSLineSearch:    5[ 10] 11:57:50      -70.358983       12.7224
BFGSLineSearch:    6[ 13] 11:57:50      -71.499909       11.3996
BFGSLineSearch:    7[ 15] 11:57:50      -73.036062       13.1861
BFGSLineSearch:    8[ 17] 11:57:50      -74.314684       13.4122
BFGSLineSearch:    9[ 19] 11:57:50      -75.527142       15.9519
BFGSLineSearch:   10[ 21] 11:57:50      -76.744450       17.4846
BFGSLineSearch:   11[ 23] 11:57:50      -78.959191       14.7544
BFGSLineSearch:   12[ 25] 11:57:50      -80.821298       16.2092
BFGSLineSearch:   13[ 27] 11:57:50      -82.621904       17.6797
BFGSLineSearch:   14[ 29] 11:57:51      -83.938592       16.9800
BFGSLineSearch:   15[ 31] 11:57:51      -84.925641       17.2932
BFGSLineSearch:   16[ 33] 11:57:51      -87.458684       17.0205
BFGSLineSearch:   17[ 35] 11:57:51      -88.973193       16.7520
BFGSLineSearch:   18[ 37] 11:57:51      -90.424968       14.1077
BFGSLineSearch:   19[ 39] 11:57:51      -91.312624       14.5001
BFGSLineSearch:   20[ 41] 11:57:51      -92.042272       16.7144
BFGSLineSearch:   21[ 43] 11:57:51      -93.076584       12.1181
BFGSLineSearch:   22[ 45] 11:57:51      -93.754375       12.4686
BFGSLineSearch:   23[ 47] 11:57:51      -94.798361        8.2311
BFGSLineSearch:   24[ 49] 11:57:51      -95.266374        7.4499
BFGSLineSearch:   25[ 51] 11:57:51      -95.742788        7.6722
BFGSLineSearch:   26[ 53] 11:57:51      -96.063266        7.0011
BFGSLineSearch:   27[ 55] 11:57:51      -96.317821        5.5751
BFGSLineSearch:   28[ 57] 11:57:51      -96.636207        4.6616
BFGSLineSearch:   29[ 59] 11:57:51      -96.866416        5.9301
BFGSLineSearch:   30[ 61] 11:57:52      -96.956166        3.4300
BFGSLineSearch:   31[ 63] 11:57:52      -97.098147        2.3414
BFGSLineSearch:   32[ 65] 11:57:52      -97.138391        1.7900
BFGSLineSearch:   33[ 67] 11:57:52      -97.156096        1.9295
BFGSLineSearch:   34[ 69] 11:57:52      -97.185334        1.2823
BFGSLineSearch:   35[ 71] 11:57:52      -97.200615        1.4425
BFGSLineSearch:   36[ 73] 11:57:52      -97.212363        0.7589
BFGSLineSearch:   37[ 75] 11:57:52      -97.217220        0.6446
BFGSLineSearch:   38[ 77] 11:57:52      -97.224274        0.6486
BFGSLineSearch:   39[ 79] 11:57:52      -97.227878        0.4661
BFGSLineSearch:   40[ 80] 11:57:52      -97.230786        0.4241
BFGSLineSearch:   41[ 81] 11:57:52      -97.233605        0.2902
BFGSLineSearch:   42[ 82] 11:57:52      -97.235255        0.2000
BFGSLineSearch:   43[ 83] 11:57:52      -97.236029        0.1146
BFGSLineSearch:   44[ 84] 11:57:52      -97.236212        0.0995
