                Step[ FC]     Time          Energy          fmax
BFGSLineSearch:    0[  0] 12:00:01      -34.061879       18.2712
BFGSLineSearch:    1[  1] 12:00:01      -39.231928       19.8825
BFGSLineSearch:    2[  3] 12:00:01      -42.976364       21.8039
BFGSLineSearch:    3[  5] 12:00:01      -44.993693       12.4906
BFGSLineSearch:    4[  7] 12:00:01      -47.317151       10.2060
BFGSLineSearch:    5[  9] 12:00:01      -48.083710       12.7541
BFGSLineSearch:    6[ 11] 12:00:01      -49.150697       10.0285
BFGSLineSearch:    7[ 13] 12:00:01      -49.947670        9.3876
BFGSLineSearch:    8[ 16] 12:00:01      -52.315552       11.8823
BFGSLineSearch:    9[ 18] 12:00:01      -52.883569       18.8783
BFGSLineSearch:   10[ 21] 12:00:01      -54.590668       22.4462
BFGSLineSearch:   11[ 24] 12:00:01      -55.179870       24.2828
BFGSLineSearch:   12[ 26] 12:00:02      -57.287711       25.9682
BFGSLineSearch:   13[ 28] 12:00:02      -60.657746       18.0864
BFGSLineSearch:   14[ 30] 12:00:02      -61.900225       15.6161
BFGSLineSearch:   15[ 32] 12:00:02      -63.624879       10.7515
BFGSLineSearch:   16[ 34] 12:00:02      -64.915771       10.1452
BFGSLineSearch:   17[ 36] 12:00:02      -66.000012       11.4236
BFGSLineSearch:   18[ 38] 12:00:02      -67.762737       14.0442
BFGSLineSearch:   19[ 41] 12:00:02      -70.463874       11.8082
BFGSLineSearch:   20[ 43] 12:00:02      -71.040196       11.8823
BFGSLineSearch:   21[ 45] 12:00:02      -71.933588       10.8228
BFGSLineSearch:   22[ 46] 12:00:02      -74.248307       14.1850
BFGSLineSearch:   23[ 48] 12:00:02      -75.688771       13.4424
BFGSLineSearch:   24[ 51] 12:00:02      -76.353667       12.9345
BFGSLineSearch:   25[ 53] 12:00:02      -77.377614        8.8770
BFGSLineSearch:   26[ 55] 12:00:02      -78.406099        6.5892
BFGSLineSearch:   27[ 57] 12:00:03      -79.476958        7.5241
BFGSLineSearch:   28[ 60] 12:00:03      -80.022076        9.1865
BFGSLineSearch:   29[ 62] 12:00:03      -80.367192        9.8230
BFGSLineSearch:   30[ 65] 12:00:03      -83.443169       14.9102
BFGSLineSearch:   31[ 67] 12:00:03      -83.850104       13.3904
BFGSLineSearch:   32[ 69] 12:00:03      -84.897975       17.5088
BFGSLineSearch:   33[ 71] 12:00:03      -85.892062       12.8722
BFGSLineSearch:   34[ 73] 12:00:03      -86.815415        7.9627
BFGSLineSearch:   35[ 75] 12:00:03      -88.335731       10.0322
BFGSLineSearch:   36[ 77] 12:00:03      -89.011379        7.0921
BFGSLineSearch:   37[ 78] 12:00:03      -90.891561        9.3508
BFGSLineSearch:   38[ 80] 12:00:03      -91.289221       13.3223
BFGSLineSearch:   39[ 83] 12:00:03      -92.028389       16.9966
BFGSLineSearch:   40[ 85] 12:00:03      -93.202890        7.8227
BFGSLineSearch:   41[ 87] 12:00:04      -93.899802        5.1523
BFGSLineSearch:   42[ 89] 12:00:04      -94.156878        2.6318
BFGSLineSearch:   43[ 91] 12:00:04      -94.284530        2.0088
BFGSLineSearch:   44[ 92] 12:00:04      -94.375141        2.5868
BFGSLineSearch:   45[ 93] 12:00:04      -94.455566        1.9062
BFGSLineSearch:   46[ 94] 12:00:04      -94.502358        0.9641
BFGSLineSearch:   47[ 96] 12:00:04      -94.508781        0.4631
BFGSLineSearch:   48[ 97] 12:00:04      -94.513285        0.2615
BFGSLineSearch:   49[ 98] 12:00:04      -94.514394        0.1089
BFGSLineSearch:   50[ 99] 12:00:04      -94.514789        0.1094
BFGSLineSearch:   51[100] 12:00:04      -94.514968        0.0701
