                Step[ FC]     Time          Energy          fmax
BFGSLineSearch:    0[  0] 12:00:19      -27.376765       15.8027
BFGSLineSearch:    1[  2] 12:00:20      -34.202535       15.0272
BFGSLineSearch:    2[  4] 12:00:20      -37.606521       15.5260
BFGSLineSearch:    3[  6] 12:00:20      -39.292657       15.9359
BFGSLineSearch:    4[  8] 12:00:20      -40.265465        9.4462
BFGSLineSearch:    5[ 11] 12:00:20      -40.605277       11.8807
BFGSLineSearch:    6[ 14] 12:00:20      -42.785481       14.7943
BFGSLineSearch:    7[ 17] 12:00:20      -43.040177       14.7920
BFGSLineSearch:    8[ 19] 12:00:20      -45.217587        9.8217
BFGSLineSearch:    9[ 22] 12:00:20      -45.938219        7.9143
BFGSLineSearch:   10[ 24] 12:00:20      -46.913189       14.9477
BFGSLineSearch:   11[ 26] 12:00:20      -47.465231       18.5539
BFGSLineSearch:   12[ 29] 12:00:21      -49.825804       12.7823
BFGSLineSearch:   13[ 32] 12:00:21      -50.179419       13.0355
BFGSLineSearch:   14[ 34] 12:00:21      -50.935735       11.8522
BFGSLineSearch:   15[ 36] 12:00:21      -52.306286       10.0451
BFGSLineSearch:   16[ 39] 12:00:21      -54.714875       23.7280
BFGSLineSearch:   17[ 41] 12:00:21      -55.858858       25.1828
BFGSLineSearch:   18[ 43] 12:00:21      -57.144951       20.5586
BFGSLineSearch:   19[ 45] 12:00:21      -58.678262        8.9499
BFGSLineSearch:   20[ 47] 12:00:21      -60.480303       11.5725
BFGSLineSearch:   21[ 49] 12:00:21      -61.526642        9.3033
BFGSLineSearch:   22[ 52] 12:00:21      -63.159878       11.5134
BFGSLineSearch:   23[ 54] 12:00:21      -64.474782       10.9844
BFGSLineSearch:   24[ 57] 12:00:21      -64.863223       12.0069
BFGSLineSearch:   25[ 59] 12:00:22      -66.279393       10.6430
BFGSLineSearch:   26[ 61] 12:00:22      -67.113124        7.6232
BFGSLineSearch:   27[ 63] 12:00:22      -68.186129        9.2990
