                Step[ FC]     Time          Energy          fmax
BFGSLineSearch:    0[  0] 12:00:38      -36.259354       31.7815
BFGSLineSearch:    1[  2] 12:00:39      -42.481803        8.9948
BFGSLineSearch:    2[  4] 12:00:39      -43.620125        9.9157
BFGSLineSearch:    3[  5] 12:00:39      -45.196715       16.0353
BFGSLineSearch:    4[  7] 12:00:39      -47.171556       23.8736
BFGSLineSearch:    5[  9] 12:00:39      -48.433192       19.8810
BFGSLineSearch:    6[ 11] 12:00:39      -49.670511       24.2391
BFGSLineSearch:    7[ 13] 12:00:39      -50.828017       16.0706
BFGSLineSearch:    8[ 15] 12:00:39      -51.863376       16.0192
BFGSLineSearch:    9[ 17] 12:00:39      -53.422638       20.6985
BFGSLineSearch:   10[ 18] 12:00:39      -57.354807       23.5531
BFGSLineSearch:   11[ 19] 12:00:39      -61.483258       29.0976
BFGSLineSearch:   12[ 21] 12:00:39      -63.432367       28.8899
BFGSLineSearch:   13[ 23] 12:00:39      -65.702848       27.7267
BFGSLineSearch:   14[ 25] 12:00:39      -68.155694       25.8782
BFGSLineSearch:   15[ 27] 12:00:39      -69.083365       31.8930
BFGSLineSearch:   16[ 29] 12:00:39      -70.222436       30.3060
BFGSLineSearch:   17[ 31] 12:00:40      -71.554093       24.0994
BFGSLineSearch:   18[ 34] 12:00:40      -75.456198       20.1711
BFGSLineSearch:   19[ 36] 12:00:40      -76.369766       20.8228
BFGSLineSearch:   20[ 38] 12:00:40      -77.497999       19.8974
BFGSLineSearch:   21[ 40] 12:00:40      -78.396715       19.9352
BFGSLineSearch:   22[ 42] 12:00:40      -79.239881       18.2615
BFGSLineSearch:   23[ 44] 12:00:40      -80.464820        6.7052
BFGSLineSearch:   24[ 46] 12:00:40      -80.775822        5.7419
BFGSLineSearch:   25[ 48] 12:00:40      -80.931603        4.5398
BFGSLineSearch:   26[ 50] 12:00:40      -81.066908        3.3121
BFGSLineSearch:   27[ 52] 12:00:40      -81.196495        2.3499
BFGSLineSearch:   28[ 54] 12:00:40      -81.281249        3.1527
BFGSLineSearch:   29[ 57] 12:00:40      -82.314285       10.9356
BFGSLineSearch:   30[ 60] 12:00:40      -82.360330       11.7195
BFGSLineSearch:   31[ 62] 12:00:40      -83.124362       14.4277
BFGSLineSearch:   32[ 64] 12:00:41      -83.401357       15.4288
BFGSLineSearch:   33[ 65] 12:00:41      -85.780562       13.8967
BFGSLineSearch:   34[ 68] 12:00:41      -88.554665       18.1610
BFGSLineSearch:   35[ 71] 12:00:41      -88.846877       16.0464
BFGSLineSearch:   36[ 72] 12:00:41      -90.990978       21.7713
BFGSLineSearch:   37[ 74] 12:00:41      -92.910229       19.0661
BFGSLineSearch:   38[ 76] 12:00:41      -95.097773       10.9443
BFGSLineSearch:   39[ 78] 12:00:41      -97.416958        9.9079
BFGSLineSearch:   40[ 80] 12:00:41      -98.386111        8.8943
BFGSLineSearch:   41[ 82] 12:00:41      -98.917876        5.5609
BFGSLineSearch:   42[ 84] 12:00:41      -99.373182        3.8209
BFGSLineSearch:   43[ 86] 12:00:41      -99.430596        2.1572
BFGSLineSearch:   44[ 88] 12:00:41      -99.512783        2.3159
BFGSLineSearch:   45[ 89] 12:00:41      -99.598323        2.1377
BFGSLineSearch:   46[ 90] 12:00:41      -99.691785        2.0861
BFGSLineSearch:   47[ 91] 12:00:41      -99.752560        1.8073
BFGSLineSearch:   48[ 92] 12:00:41      -99.798706        1.4277
BFGSLineSearch:   49[ 93] 12:00:41      -99.821572        0.6539
BFGSLineSearch:   50[ 94] 12:00:41      -99.824819        0.3944
BFGSLineSearch:   51[ 95] 12:00:42      -99.825709        0.1699
BFGSLineSearch:   52[ 96] 12:00:42      -99.826150        0.0747
