                Step[ FC]     Time          Energy          fmax
BFGSLineSearch:    0[  0] 12:00:49      -37.780084       31.2552
BFGSLineSearch:    1[  2] 12:00:49      -47.788263       13.2553
BFGSLineSearch:    2[  4] 12:00:50      -54.384642       15.2754
BFGSLineSearch:    3[  6] 12:00:50      -58.632841       17.7590
BFGSLineSearch:    4[  8] 12:00:50      -61.069560       16.7553
BFGSLineSearch:    5[ 10] 12:00:50      -62.664436       15.5713
BFGSLineSearch:    6[ 12] 12:00:50      -64.201488       13.4060
BFGSLineSearch:    7[ 14] 12:00:50      -65.125834        9.9272
BFGSLineSearch:    8[ 16] 12:00:50      -66.771445       10.6445
BFGSLineSearch:    9[ 18] 12:00:50      -68.575929       11.0557
BFGSLineSearch:   10[ 20] 12:00:50      -70.426151       15.3749
BFGSLineSearch:   11[ 23] 12:00:50      -71.313561       17.7629
BFGSLineSearch:   12[ 25] 12:00:50      -72.249969       17.6044
BFGSLineSearch:   13[ 27] 12:00:50      -74.628895       14.5691
BFGSLineSearch:   14[ 30] 12:00:50      -75.102954       12.1691
BFGSLineSearch:   15[ 32] 12:00:50      -75.891487       11.2934
BFGSLineSearch:   16[ 34] 12:00:50      -77.338600       10.5248
BFGSLineSearch:   17[ 36] 12:00:51      -78.050734       14.1241
BFGSLineSearch:   18[ 38] 12:00:51      -79.289645       11.1045
BFGSLineSearch:   19[ 40] 12:00:51      -79.716028        8.4788
BFGSLineSearch:   20[ 42] 12:00:51      -80.239141        9.0195
BFGSLineSearch:   21[ 44] 12:00:51      -80.652955        6.4641
BFGSLineSearch:   22[ 47] 12:00:51      -80.902718        4.3382
BFGSLineSearch:   23[ 49] 12:00:51      -81.026464        3.9479
BFGSLineSearch:   24[ 51] 12:00:51      -81.202602        3.4376
BFGSLineSearch:   25[ 53] 12:00:51      -81.296812        4.6859
BFGSLineSearch:   26[ 55] 12:00:51      -81.491569        4.1181
BFGSLineSearch:   27[ 59] 12:00:51      -85.017718       12.8911
BFGSLineSearch:   28[ 61] 12:00:51      -85.075825       13.6559
BFGSLineSearch:   29[ 63] 12:00:51      -85.613236       14.5274
BFGSLineSearch:   30[ 66] 12:00:51      -87.785788       15.3888
BFGSLineSearch:   31[ 68] 12:00:52      -88.931126       18.1405
BFGSLineSearch:   32[ 70] 12:00:52      -91.421689       13.5534
BFGSLineSearch:   33[ 72] 12:00:52      -92.452050       11.6429
BFGSLineSearch:   34[ 74] 12:00:52      -93.407985        6.5769
BFGSLineSearch:   35[ 76] 12:00:52      -93.766207        4.9422
BFGSLineSearch:   36[ 78] 12:00:52      -94.102590        3.8597
BFGSLineSearch:   37[ 80] 12:00:52      -94.275977        3.0676
BFGSLineSearch:   38[ 82] 12:00:52      -94.339271        1.6981
BFGSLineSearch:   39[ 84] 12:00:52      -94.377828        1.4084
BFGSLineSearch:   40[ 86] 12:00:52      -94.386533        1.4762
BFGSLineSearch:   41[ 88] 12:00:52      -94.394314        0.5619
BFGSLineSearch:   42[ 89] 12:00:52      -94.398299        0.5493
BFGSLineSearch:   43[ 90] 12:00:52      -94.402948        0.3040
BFGSLineSearch:   44[ 91] 12:00:52      -94.404012        0.1715
BFGSLineSearch:   45[ 92] 12:00:52      -94.404675        0.0980
