                Step[ FC]     Time          Energy          fmax
BFGSLineSearch:    0[  0] 11:54:25      -31.451588       40.5979
BFGSLineSearch:    1[  2] 11:54:25      -39.960705       12.4047
BFGSLineSearch:    2[  4] 11:54:25      -44.876081       12.9402
BFGSLineSearch:    3[  6] 11:54:25      -46.689411       10.0154
BFGSLineSearch:    4[  7] 11:54:25      -49.240462       20.4660
BFGSLineSearch:    5[  9] 11:54:25      -49.972633       15.8283
BFGSLineSearch:    6[ 11] 11:54:25      -52.148248       17.5476
BFGSLineSearch:    7[ 14] 11:54:25      -55.962465       20.4036
BFGSLineSearch:    8[ 16] 11:54:25      -57.127167       20.3055
BFGSLineSearch:    9[ 18] 11:54:25      -59.932374       22.6451
BFGSLineSearch:   10[ 19] 11:54:25      -63.335624       26.9125
BFGSLineSearch:   11[ 21] 11:54:25      -65.268627       27.4143
BFGSLineSearch:   12[ 23] 11:54:25      -68.031042       21.3702
BFGSLineSearch:   13[ 25] 11:54:26      -69.222370       18.2688
BFGSLineSearch:   14[ 27] 11:54:26      -72.116230       17.5146
BFGSLineSearch:   15[ 28] 11:54:26      -76.108456       16.6041
BFGSLineSearch:   16[ 30] 11:54:26      -78.426504       14.9147
BFGSLineSearch:   17[ 32] 11:54:26      -80.387107       17.0488
BFGSLineSearch:   18[ 34] 11:54:26      -81.317590       14.5137
BFGSLineSearch:   19[ 36] 11:54:26      -81.838906       12.3511
BFGSLineSearch:   20[ 39] 11:54:26      -82.412476        8.6099
BFGSLineSearch:   21[ 41] 11:54:26      -82.757169        7.6650
BFGSLineSearch:   22[ 44] 11:54:26      -83.054281        8.3436
BFGSLineSearch:   23[ 46] 11:54:26      -83.267370        6.6961
BFGSLineSearch:   24[ 48] 11:54:26      -83.663961       10.6165
BFGSLineSearch:   25[ 51] 11:54:26      -84.238829       11.6691
BFGSLineSearch:   26[ 53] 11:54:26      -84.810324       12.9917
BFGSLineSearch:   27[ 55] 11:54:26      -85.123978       10.8624
BFGSLineSearch:   28[ 57] 11:54:27      -85.484224        8.0470
BFGSLineSearch:   29[ 59] 11:54:27      -86.344862        6.2385
BFGSLineSearch:   30[ 61] 11:54:27      -87.366972        8.1281
BFGSLineSearch:   31[ 64] 11:54:27      -87.600658        9.0579
BFGSLineSearch:   32[ 66] 11:54:27      -87.982403        7.9672
BFGSLineSearch:   33[ 68] 11:54:27      -88.651316        7.5827
BFGSLineSearch:   34[ 70] 11:54:27      -88.914964        5.4552
BFGSLineSearch:   35[ 72] 11:54:27      -89.155845        4.0487
BFGSLineSearch:   36[ 76] 11:54:27      -93.875366       15.1764
BFGSLineSearch:   37[ 78] 11:54:27      -93.976168       16.6057
BFGSLineSearch:   38[ 81] 11:54:27      -96.127583       22.2573
BFGSLineSearch:   39[ 83] 11:54:27      -96.807273       26.1971
BFGSLineSearch:   40[ 85] 11:54:27      -99.161504       20.5800
BFGSLineSearch:   41[ 86] 11:54:27     -103.648830       19.5954
BFGSLineSearch:   42[ 88] 11:54:27     -105.183218       15.8625
BFGSLineSearch:   43[ 90] 11:54:28     -106.742199       10.4708
BFGSLineSearch:   44[ 92] 11:54:28     -107.458492        9.0014
BFGSLineSearch:   45[ 94] 11:54:28     -107.856395        3.7295
BFGSLineSearch:   46[ 95] 11:54:28     -107.972700        2.7902
BFGSLineSearch:   47[ 96] 11:54:28     -108.038378        1.9473
BFGSLineSearch:   48[ 98] 11:54:28     -108.061635        1.0192
BFGSLineSearch:   49[100] 11:54:28     -108.073957        0.3446
BFGSLineSearch:   50[101] 11:54:28     -108.076345        0.2686
BFGSLineSearch:   51[102] 11:54:28     -108.077058        0.0454
