                Step[ FC]     Time          Energy          fmax
BFGSLineSearch:    0[  0] 11:57:12      -36.781526       18.4627
BFGSLineSearch:    1[  2] 11:57:12      -46.618035       13.0855
BFGSLineSearch:    2[  4] 11:57:12      -50.161602       15.7424
BFGSLineSearch:    3[  6] 11:57:12      -52.192475       15.2708
BFGSLineSearch:    4[  8] 11:57:12      -54.324691       17.1627
BFGSLineSearch:    5[ 10] 11:57:12      -55.605043       12.1468
BFGSLineSearch:    6[ 12] 11:57:12      -57.522837        9.7238
BFGSLineSearch:    7[ 15] 11:57:12      -58.207349        8.6757
BFGSLineSearch:    8[ 17] 11:57:13      -58.854031        6.8256
BFGSLineSearch:    9[ 19] 11:57:13      -59.505445       10.6761
BFGSLineSearch:   10[ 21] 11:57:13      -61.284070       16.1938
BFGSLineSearch:   11[ 24] 11:57:13      -61.958458       19.8870
BFGSLineSearch:   12[ 26] 11:57:13      -62.461659       21.2028
BFGSLineSearch:   13[ 28] 11:57:13      -64.292919       17.7349
BFGSLineSearch:   14[ 31] 11:57:13      -64.687411       17.1716
BFGSLineSearch:   15[ 33] 11:57:13      -65.340563       13.9540
BFGSLineSearch:   16[ 35] 11:57:13      -66.938583       14.1078
BFGSLineSearch:   17[ 38] 11:57:13      -72.079484       15.7371
BFGSLineSearch:   18[ 40] 11:57:13      -72.848542       16.6780
BFGSLineSearch:   19[ 42] 11:57:13      -74.383366       21.7444
BFGSLineSearch:   20[ 44] 11:57:13      -76.359389       19.3755
BFGSLineSearch:   21[ 46] 11:57:14      -77.805546       22.1950
BFGSLineSearch:   22[ 48] 11:57:14      -82.107659       34.9036
BFGSLineSearch:   23[ 50] 11:57:14      -84.056598       28.2473
BFGSLineSearch:   24[ 52] 11:57:14      -86.610914       23.1763
BFGSLineSearch:   25[ 54] 11:57:14      -88.537774       18.5869
BFGSLineSearch:   26[ 56] 11:57:14      -92.309429       10.7835
BFGSLineSearch:   27[ 58] 11:57:14      -93.035723        8.9609
BFGSLineSearch:   28[ 60] 11:57:14      -93.406079        8.0204
BFGSLineSearch:   29[ 62] 11:57:14      -93.964583        5.7126
BFGSLineSearch:   30[ 64] 11:57:14      -94.176449        4.3094
BFGSLineSearch:   31[ 66] 11:57:14      -94.408741        4.5014
BFGSLineSearch:   32[ 68] 11:57:14      -94.516128        3.0605
BFGSLineSearch:   33[ 70] 11:57:14      -94.579200        2.1763
BFGSLineSearch:   34[ 72] 11:57:14      -94.609402        1.4986
BFGSLineSearch:   35[ 77] 11:57:15      -95.327548       10.5571
BFGSLineSearch:   36[ 80] 11:57:15      -95.343479        9.9376
BFGSLineSearch:   37[ 81] 11:57:15      -95.600530        9.7571
BFGSLineSearch:   38[ 83] 11:57:15      -96.058995        5.9133
BFGSLineSearch:   39[ 85] 11:57:15      -96.604400        4.5165
BFGSLineSearch:   40[ 86] 11:57:15      -96.828742        5.3515
BFGSLineSearch:   41[ 88] 11:57:15      -96.981843        2.3201
BFGSLineSearch:   42[ 89] 11:57:15      -97.064497        2.1046
BFGSLineSearch:   43[ 90] 11:57:15      -97.120948        1.3297
BFGSLineSearch:   44[ 91] 11:57:15      -97.155638        0.8015
BFGSLineSearch:   45[ 93] 11:57:15      -97.163022        0.3515
BFGSLineSearch:   46[ 94] 11:57:15      -97.164663        0.2390
BFGSLineSearch:   47[ 95] 11:57:15      -97.165586        0.0925
