      Step     Time          Energy         fmax
BFGS:    0 20:43:17     -972.362894      176.5177
BFGS:    1 20:43:17    -1015.422280       83.6431
BFGS:    2 20:43:17    -1021.895633       64.7491
BFGS:    3 20:43:18    -1026.932686       49.0442
BFGS:    4 20:43:18    -1030.325795       38.9358
BFGS:    5 20:43:18    -1033.446164       30.4732
BFGS:    6 20:43:18    -1035.836906       24.5974
BFGS:    7 20:43:18    -1037.725366       19.7473
BFGS:    8 20:43:18    -1039.211739       15.9330
BFGS:    9 20:43:18    -1040.402361       12.8301
BFGS:   10 20:43:18    -1041.369788       10.1556
BFGS:   11 20:43:18    -1042.178239        7.7776
BFGS:   12 20:43:18    -1042.862034        5.6601
BFGS:   13 20:43:18    -1043.440169        4.0360
BFGS:   14 20:43:18    -1043.900548        2.9779
BFGS:   15 20:43:18    -1044.217276        2.1954
BFGS:   16 20:43:18    -1044.441172        1.5826
BFGS:   17 20:43:18    -1044.599547        1.1066
BFGS:   18 20:43:18    -1044.712285        0.7399
BFGS:   19 20:43:18    -1044.790446        0.4673
BFGS:   20 20:43:18    -1044.844981        0.2805
BFGS:   21 20:43:18    -1044.883459        0.2496
BFGS:   22 20:43:18    -1044.911660        0.2982
BFGS:   23 20:43:18    -1044.934084        0.3329
BFGS:   24 20:43:18    -1044.953660        0.3522
BFGS:   25 20:43:18    -1044.972161        0.3574
BFGS:   26 20:43:18    -1044.990317        0.3507
BFGS:   27 20:43:18    -1045.008402        0.3335
BFGS:   28 20:43:18    -1045.026498        0.3050
BFGS:   29 20:43:18    -1045.044482        0.2644
BFGS:   30 20:43:19    -1045.061267        0.2152
BFGS:   31 20:43:19    -1045.081098        0.1338
BFGS:   32 20:43:19    -1045.094011        0.0717
