      Step     Time          Energy         fmax
BFGS:    0 20:39:31    -1010.261825       55.3767
BFGS:    1 20:39:31    -1020.457245       38.2632
BFGS:    2 20:39:31    -1028.878698       37.2270
BFGS:    3 20:39:31    -1035.666795       31.2991
BFGS:    4 20:39:31    -1040.526056       29.3317
BFGS:    5 20:39:31    -1044.291761       26.9308
BFGS:    6 20:39:31    -1047.898946       25.2359
BFGS:    7 20:39:31    -1051.519166       22.9064
BFGS:    8 20:39:31    -1055.663706       20.5736
BFGS:    9 20:39:31    -1059.291230       18.2020
BFGS:   10 20:39:31    -1062.447654       16.5858
BFGS:   11 20:39:31    -1065.113343       15.4288
BFGS:   12 20:39:31    -1067.481049       14.6734
BFGS:   13 20:39:31    -1069.700778       13.8104
BFGS:   14 20:39:31    -1071.710397       12.9999
BFGS:   15 20:39:31    -1073.577067       12.2488
BFGS:   16 20:39:31    -1075.266550       11.3804
BFGS:   17 20:39:31    -1076.891618       10.5342
BFGS:   18 20:39:31    -1078.432609        9.6887
BFGS:   19 20:39:31    -1079.883591        8.8756
BFGS:   20 20:39:31    -1081.256791        8.1306
BFGS:   21 20:39:31    -1082.511599        7.3922
BFGS:   22 20:39:31    -1083.659062        6.6911
BFGS:   23 20:39:31    -1084.659451        5.9378
BFGS:   24 20:39:31    -1085.550977        5.1868
BFGS:   25 20:39:31    -1086.334598        4.4510
BFGS:   26 20:39:31    -1087.037683        3.7603
BFGS:   27 20:39:31    -1087.652057        3.1361
BFGS:   28 20:39:31    -1088.194928        2.5787
BFGS:   29 20:39:31    -1088.670133        2.5734
BFGS:   30 20:39:31    -1089.014907        2.6397
BFGS:   31 20:39:31    -1089.277585        2.5890
BFGS:   32 20:39:32    -1089.495300        2.4473
BFGS:   33 20:39:32    -1089.682201        2.2897
BFGS:   34 20:39:32    -1089.845496        2.2178
BFGS:   35 20:39:32    -1089.988936        2.0942
BFGS:   36 20:39:32    -1090.116512        1.9010
BFGS:   37 20:39:32    -1090.233194        1.6277
BFGS:   38 20:39:32    -1090.342754        1.3077
BFGS:   39 20:39:32    -1090.432729        0.9936
BFGS:   40 20:39:32    -1090.507545        0.8042
BFGS:   41 20:39:32    -1090.566494        0.5874
BFGS:   42 20:39:32    -1090.606873        0.4362
BFGS:   43 20:39:32    -1090.623186        0.3087
BFGS:   44 20:39:32    -1090.629942        0.2247
BFGS:   45 20:39:32    -1090.636025        0.2048
BFGS:   46 20:39:32    -1090.639000        0.1720
BFGS:   47 20:39:32    -1090.641563        0.1534
BFGS:   48 20:39:32    -1090.642961        0.1282
BFGS:   49 20:39:32    -1090.643709        0.0908
